s_p,s_n,cluster_label,cluster_type
379.0,-478.0,1,cluster_1
645.0,-629.0,1,cluster_1
653.0,-703.0,1,cluster_1
719.0,-832.0,1,cluster_1
344.0,-490.0,1,cluster_1
462.0,-410.0,1,cluster_1
737.0,-334.0,1,cluster_1
654.0,-588.0,1,cluster_1
630.0,-572.0,1,cluster_1
568.0,-324.0,1,cluster_1
597.0,-330.0,1,cluster_1
781.0,-407.0,1,cluster_1
801.0,-405.0,1,cluster_1
840.0,-415.0,1,cluster_1
729.0,-817.0,1,cluster_1
668.0,-672.0,1,cluster_1
785.0,-398.0,1,cluster_1
606.0,-582.0,1,cluster_1
425.0,-338.0,1,cluster_1
591.0,-562.0,1,cluster_1
818.0,-459.0,1,cluster_1
854.0,-476.0,1,cluster_1
474.0,-604.0,1,cluster_1
539.0,-332.0,1,cluster_1
561.0,-485.0,1,cluster_1
516.0,-495.0,1,cluster_1
734.0,-403.0,1,cluster_1
621.0,-642.0,1,cluster_1
584.0,-431.0,1,cluster_1
922.0,-448.0,1,cluster_1
667.0,-391.0,1,cluster_1
497.0,-453.0,1,cluster_1
708.0,-399.0,1,cluster_1
679.0,-423.0,1,cluster_1
719.0,-593.0,1,cluster_1
658.0,-721.0,1,cluster_1
739.0,-420.0,1,cluster_1
505.0,-532.0,1,cluster_1
468.0,-519.0,1,cluster_1
645.0,-394.0,1,cluster_1
483.0,-340.0,1,cluster_1
708.0,-501.0,1,cluster_1
461.0,-450.0,1,cluster_1
860.0,-810.0,1,cluster_1
663.0,-705.0,1,cluster_1
692.0,-636.0,1,cluster_1
664.0,-619.0,1,cluster_1
667.0,-619.0,1,cluster_1
604.0,-634.0,1,cluster_1
567.0,-579.0,1,cluster_1
708.0,-511.0,1,cluster_1
726.0,-442.0,1,cluster_1
542.0,-501.0,1,cluster_1
512.0,-460.0,1,cluster_1
705.0,-724.0,1,cluster_1
684.0,-548.0,1,cluster_1
661.0,-588.0,1,cluster_1
661.0,-397.0,1,cluster_1
481.0,-522.0,1,cluster_1
708.0,-384.0,1,cluster_1
796.0,-345.0,1,cluster_1
654.0,-428.0,1,cluster_1
759.0,-440.0,1,cluster_1
813.0,-416.0,1,cluster_1
751.0,-786.0,1,cluster_1
719.0,-645.0,1,cluster_1
706.0,-659.0,1,cluster_1
667.0,-638.0,1,cluster_1
760.0,-452.0,1,cluster_1
602.0,-427.0,1,cluster_1
780.0,-597.0,1,cluster_1
513.0,-412.0,1,cluster_1
821.0,-497.0,1,cluster_1
719.0,-460.0,1,cluster_1
679.0,-519.0,1,cluster_1
751.0,-407.0,1,cluster_1
768.0,-587.0,1,cluster_1
883.0,-459.0,1,cluster_1
728.0,-656.0,1,cluster_1
846.0,-413.0,1,cluster_1
719.0,-280.0,1,cluster_1
770.0,-805.0,1,cluster_1
517.0,-570.0,1,cluster_1
522.0,-554.0,1,cluster_1
498.0,-294.0,1,cluster_1
635.0,-540.0,1,cluster_1
513.0,-466.0,1,cluster_1
560.0,-340.0,1,cluster_1
518.0,-626.0,1,cluster_1
484.0,-312.0,1,cluster_1
661.0,-409.0,1,cluster_1
745.0,-659.0,1,cluster_1
737.0,-656.0,1,cluster_1
733.0,-656.0,1,cluster_1
754.0,-390.0,1,cluster_1
763.0,-311.0,1,cluster_1
674.0,-527.0,1,cluster_1
625.0,-502.0,1,cluster_1
627.0,-460.0,1,cluster_1
500.0,-380.0,1,cluster_1
719.0,-625.0,1,cluster_1
761.0,-394.0,1,cluster_1
742.0,-431.0,1,cluster_1
897.0,-438.0,1,cluster_1
706.0,-360.0,1,cluster_1
741.0,-336.0,1,cluster_1
825.0,-393.0,1,cluster_1
713.0,-616.0,1,cluster_1
444.0,-562.0,1,cluster_1
352.0,-485.0,1,cluster_1
773.0,-395.0,1,cluster_1
614.0,-634.0,1,cluster_1
726.0,-388.0,1,cluster_1
575.0,-379.0,1,cluster_1
873.0,-418.0,1,cluster_1
591.0,-275.0,1,cluster_1
760.0,-670.0,1,cluster_1
717.0,-320.0,1,cluster_1
743.0,-454.0,1,cluster_1
747.0,-633.0,1,cluster_1
527.0,-528.0,1,cluster_1
523.0,-517.0,1,cluster_1
516.0,-393.0,1,cluster_1
509.0,-382.0,1,cluster_1
726.0,-329.0,1,cluster_1
569.0,-451.0,1,cluster_1
563.0,-814.0,1,cluster_1
526.0,-441.0,1,cluster_1
861.0,-412.0,1,cluster_1
750.0,-411.0,1,cluster_1
514.0,-437.0,1,cluster_1
873.0,-403.0,1,cluster_1
477.0,-494.0,1,cluster_1
709.0,-535.0,1,cluster_1
657.0,-467.0,1,cluster_1
350.0,-670.0,1,cluster_1
452.0,-438.0,1,cluster_1
707.0,-692.0,1,cluster_1
740.0,-659.0,1,cluster_1
562.0,-254.0,1,cluster_1
684.0,-512.0,1,cluster_1
749.0,-446.0,1,cluster_1
805.0,-650.0,1,cluster_1
796.0,-389.0,1,cluster_1
843.0,-769.0,1,cluster_1
822.0,-801.0,1,cluster_1
811.0,-784.0,1,cluster_1
748.0,-330.0,1,cluster_1
747.0,-444.0,1,cluster_1
774.0,-440.0,1,cluster_1
808.0,-436.0,1,cluster_1
804.0,-378.0,1,cluster_1
570.0,-345.0,1,cluster_1
783.0,-401.0,1,cluster_1
739.0,-559.0,1,cluster_1
541.0,-382.0,1,cluster_1
714.0,-385.0,1,cluster_1
737.0,-412.0,1,cluster_1
783.0,-383.0,1,cluster_1
800.0,-405.0,1,cluster_1
759.0,-344.0,1,cluster_1
673.0,-715.0,1,cluster_1
715.0,-446.0,1,cluster_1
721.0,-386.0,1,cluster_1
918.0,-459.0,1,cluster_1
801.0,-287.0,1,cluster_1
867.0,-396.0,1,cluster_1
788.0,-404.0,1,cluster_1
791.0,-806.0,1,cluster_1
788.0,-854.0,1,cluster_1
888.0,-422.0,1,cluster_1
507.0,-373.0,1,cluster_1
862.0,-398.0,1,cluster_1
837.0,-408.0,1,cluster_1
878.0,-411.0,1,cluster_1
879.0,-442.0,1,cluster_1
662.0,-437.0,1,cluster_1
511.0,-519.0,1,cluster_1
577.0,-500.0,1,cluster_1
578.0,-515.0,1,cluster_1
778.0,-416.0,1,cluster_1
717.0,-411.0,1,cluster_1
806.0,-372.0,1,cluster_1
664.0,-654.0,1,cluster_1
699.0,-516.0,1,cluster_1
605.0,-383.0,1,cluster_1
873.0,-730.0,1,cluster_1
908.0,-606.0,1,cluster_1
864.0,-685.0,1,cluster_1
758.0,-356.0,1,cluster_1
761.0,-373.0,1,cluster_1
733.0,-378.0,1,cluster_1
792.0,-553.0,1,cluster_1
804.0,-658.0,1,cluster_1
518.0,-539.0,1,cluster_1
748.0,-719.0,1,cluster_1
744.0,-808.0,1,cluster_1
676.0,-525.0,1,cluster_1
592.0,-580.0,1,cluster_1
695.0,-660.0,1,cluster_1
698.0,-418.0,1,cluster_1
764.0,-398.0,1,cluster_1
576.0,-572.0,1,cluster_1
777.0,-264.0,1,cluster_1
743.0,-705.0,1,cluster_1
541.0,-557.0,1,cluster_1
831.0,-433.0,1,cluster_1
478.0,-724.0,1,cluster_1
492.0,-468.0,1,cluster_1
696.0,-409.0,1,cluster_1
930.0,-776.0,1,cluster_1
490.0,-681.0,1,cluster_1
742.0,-406.0,1,cluster_1
729.0,-658.0,1,cluster_1
661.0,-563.0,1,cluster_1
758.0,-323.0,1,cluster_1
764.0,-532.0,1,cluster_1
574.0,-474.0,1,cluster_1
727.0,-419.0,1,cluster_1
676.0,-596.0,1,cluster_1
628.0,-389.0,1,cluster_1
715.0,-426.0,1,cluster_1
784.0,-413.0,1,cluster_1
703.0,-679.0,1,cluster_1
578.0,-430.0,1,cluster_1
838.0,-412.0,1,cluster_1
633.0,-583.0,1,cluster_1
544.0,-536.0,1,cluster_1
784.0,-381.0,1,cluster_1
593.0,-257.0,1,cluster_1
789.0,-274.0,1,cluster_1
697.0,-359.0,1,cluster_1
795.0,-432.0,1,cluster_1
787.0,-759.0,1,cluster_1
735.0,-718.0,1,cluster_1
553.0,-360.0,1,cluster_1
606.0,-445.0,1,cluster_1
843.0,-651.0,1,cluster_1
844.0,-647.0,1,cluster_1
767.0,-391.0,1,cluster_1
819.0,-429.0,1,cluster_1
760.0,-387.0,1,cluster_1
862.0,-421.0,1,cluster_1
745.0,-527.0,1,cluster_1
790.0,-565.0,1,cluster_1
584.0,-667.0,1,cluster_1
522.0,-531.0,1,cluster_1
627.0,-599.0,1,cluster_1
681.0,-496.0,1,cluster_1
684.0,-632.0,1,cluster_1
496.0,-640.0,1,cluster_1
772.0,-568.0,1,cluster_1
643.0,-686.0,1,cluster_1
660.0,-697.0,1,cluster_1
526.0,-514.0,1,cluster_1
740.0,-398.0,1,cluster_1
608.0,-658.0,1,cluster_1
592.0,-496.0,1,cluster_1
602.0,-644.0,1,cluster_1
633.0,-507.0,1,cluster_1
514.0,-729.0,1,cluster_1
494.0,-643.0,1,cluster_1
615.0,-599.0,1,cluster_1
742.0,-858.0,1,cluster_1
748.0,-399.0,1,cluster_1
811.0,-409.0,1,cluster_1
487.0,-371.0,1,cluster_1
539.0,-635.0,1,cluster_1
675.0,-369.0,1,cluster_1
683.0,-364.0,1,cluster_1
696.0,-614.0,1,cluster_1
617.0,-398.0,1,cluster_1
790.0,-347.0,1,cluster_1
797.0,-445.0,1,cluster_1
482.0,-371.0,1,cluster_1
684.0,-528.0,1,cluster_1
840.0,-410.0,1,cluster_1
888.0,-708.0,1,cluster_1
785.0,-439.0,1,cluster_1
618.0,-498.0,1,cluster_1
693.0,-408.0,1,cluster_1
611.0,-459.0,1,cluster_1
683.0,-577.0,1,cluster_1
674.0,-429.0,1,cluster_1
608.0,-395.0,1,cluster_1
760.0,-457.0,1,cluster_1
675.0,-472.0,1,cluster_1
787.0,-346.0,1,cluster_1
761.0,-390.0,1,cluster_1
786.0,-270.0,1,cluster_1
784.0,-406.0,1,cluster_1
669.0,-290.0,1,cluster_1
516.0,-623.0,1,cluster_1
465.0,-377.0,1,cluster_1
589.0,-271.0,1,cluster_1
760.0,-425.0,1,cluster_1
686.0,-374.0,1,cluster_1
755.0,-381.0,1,cluster_1
703.0,-679.0,1,cluster_1
568.0,-291.0,1,cluster_1
564.0,-554.0,1,cluster_1
557.0,-557.0,1,cluster_1
579.0,-528.0,1,cluster_1
583.0,-523.0,1,cluster_1
585.0,-524.0,1,cluster_1
548.0,-517.0,1,cluster_1
549.0,-522.0,1,cluster_1
557.0,-518.0,1,cluster_1
597.0,-355.0,1,cluster_1
731.0,-580.0,1,cluster_1
799.0,-322.0,1,cluster_1
648.0,-510.0,1,cluster_1
790.0,-425.0,1,cluster_1
693.0,-639.0,1,cluster_1
496.0,-506.0,1,cluster_1
683.0,-568.0,1,cluster_1
390.0,-655.0,1,cluster_1
689.0,-573.0,1,cluster_1
733.0,-710.0,1,cluster_1
621.0,-711.0,1,cluster_1
552.0,-840.0,1,cluster_1
610.0,-656.0,1,cluster_1
688.0,-801.0,1,cluster_1
844.0,-388.0,1,cluster_1
577.0,-421.0,1,cluster_1
505.0,-482.0,1,cluster_1
485.0,-490.0,1,cluster_1
691.0,-680.0,1,cluster_1
686.0,-641.0,1,cluster_1
567.0,-382.0,1,cluster_1
499.0,-587.0,1,cluster_1
615.0,-251.0,1,cluster_1
256.0,-298.0,1,cluster_1
664.0,-349.0,1,cluster_1
652.0,-684.0,1,cluster_1
647.0,-566.0,1,cluster_1
697.0,-399.0,1,cluster_1
563.0,-474.0,1,cluster_1
492.0,-420.0,1,cluster_1
691.0,-916.0,1,cluster_1
708.0,-516.0,1,cluster_1
695.0,-449.0,1,cluster_1
645.0,-557.0,1,cluster_1
615.0,-415.0,1,cluster_1
614.0,-415.0,1,cluster_1
817.0,-518.0,1,cluster_1
478.0,-449.0,1,cluster_1
379.0,-523.0,1,cluster_1
379.0,-475.0,1,cluster_1
482.0,-393.0,1,cluster_1
616.0,-660.0,1,cluster_1
811.0,-408.0,1,cluster_1
784.0,-419.0,1,cluster_1
497.0,-547.0,1,cluster_1
543.0,-543.0,1,cluster_1
599.0,-549.0,1,cluster_1
679.0,-683.0,1,cluster_1
825.0,-415.0,1,cluster_1
479.0,-452.0,1,cluster_1
794.0,-825.0,1,cluster_1
632.0,-360.0,1,cluster_1
677.0,-589.0,1,cluster_1
766.0,-566.0,1,cluster_1
576.0,-312.0,1,cluster_1
663.0,-508.0,1,cluster_1
751.0,-655.0,1,cluster_1
465.0,-455.0,1,cluster_1
666.0,-477.0,1,cluster_1
567.0,-668.0,1,cluster_1
748.0,-307.0,1,cluster_1
721.0,-407.0,1,cluster_1
707.0,-335.0,1,cluster_1
735.0,-426.0,1,cluster_1
766.0,-414.0,1,cluster_1
563.0,-381.0,1,cluster_1
608.0,-304.0,1,cluster_1
571.0,-646.0,1,cluster_1
809.0,-425.0,1,cluster_1
687.0,-663.0,1,cluster_1
673.0,-681.0,1,cluster_1
634.0,-399.0,1,cluster_1
637.0,-523.0,1,cluster_1
650.0,-537.0,1,cluster_1
726.0,-414.0,1,cluster_1
805.0,-422.0,1,cluster_1
774.0,-544.0,1,cluster_1
616.0,-503.0,1,cluster_1
460.0,-385.0,1,cluster_1
736.0,-344.0,1,cluster_1
389.0,-744.0,1,cluster_1
660.0,-382.0,1,cluster_1
744.0,-640.0,1,cluster_1
459.0,-417.0,1,cluster_1
768.0,-736.0,1,cluster_1
814.0,-375.0,1,cluster_1
783.0,-431.0,1,cluster_1
770.0,-644.0,1,cluster_1
684.0,-454.0,1,cluster_1
561.0,-506.0,1,cluster_1
728.0,-325.0,1,cluster_1
624.0,-571.0,1,cluster_1
791.0,-701.0,1,cluster_1
587.0,-607.0,1,cluster_1
796.0,-389.0,1,cluster_1
718.0,-804.0,1,cluster_1
743.0,-488.0,1,cluster_1
745.0,-368.0,1,cluster_1
711.0,-394.0,1,cluster_1
728.0,-395.0,1,cluster_1
679.0,-529.0,1,cluster_1
728.0,-469.0,1,cluster_1
819.0,-475.0,1,cluster_1
667.0,-410.0,1,cluster_1
805.0,-414.0,1,cluster_1
731.0,-410.0,1,cluster_1
732.0,-441.0,1,cluster_1
775.0,-505.0,1,cluster_1
533.0,-582.0,1,cluster_1
668.0,-454.0,1,cluster_1
743.0,-532.0,1,cluster_1
578.0,-515.0,1,cluster_1
829.0,-746.0,1,cluster_1
462.0,-573.0,1,cluster_1
790.0,-620.0,1,cluster_1
756.0,-492.0,1,cluster_1
780.0,-818.0,1,cluster_1
760.0,-635.0,1,cluster_1
771.0,-455.0,1,cluster_1
791.0,-753.0,1,cluster_1
721.0,-412.0,1,cluster_1
687.0,-397.0,1,cluster_1
816.0,-714.0,1,cluster_1
680.0,-350.0,1,cluster_1
576.0,-455.0,1,cluster_1
746.0,-408.0,1,cluster_1
795.0,-668.0,1,cluster_1
765.0,-388.0,1,cluster_1
654.0,-408.0,1,cluster_1
827.0,-406.0,1,cluster_1
578.0,-602.0,1,cluster_1
774.0,-383.0,1,cluster_1
561.0,-491.0,1,cluster_1
807.0,-717.0,1,cluster_1
684.0,-396.0,1,cluster_1
596.0,-544.0,1,cluster_1
771.0,-378.0,1,cluster_1
708.0,-410.0,1,cluster_1
637.0,-571.0,1,cluster_1
733.0,-648.0,1,cluster_1
584.0,-572.0,1,cluster_1
750.0,-395.0,1,cluster_1
727.0,-661.0,1,cluster_1
703.0,-607.0,1,cluster_1
778.0,-415.0,1,cluster_1
463.0,-422.0,1,cluster_1
677.0,-697.0,1,cluster_1
786.0,-483.0,1,cluster_1
644.0,-673.0,1,cluster_1
607.0,-432.0,1,cluster_1
688.0,-432.0,1,cluster_1
822.0,-389.0,1,cluster_1
621.0,-464.0,1,cluster_1
636.0,-536.0,1,cluster_1
817.0,-459.0,1,cluster_1
824.0,-433.0,1,cluster_1
788.0,-384.0,1,cluster_1
741.0,-555.0,1,cluster_1
669.0,-338.0,1,cluster_1
662.0,-392.0,1,cluster_1
595.0,-449.0,1,cluster_1
751.0,-404.0,1,cluster_1
772.0,-851.0,1,cluster_1
702.0,-402.0,1,cluster_1
580.0,-542.0,1,cluster_1
883.0,-423.0,1,cluster_1
855.0,-644.0,1,cluster_1
758.0,-732.0,1,cluster_1
643.0,-461.0,1,cluster_1
778.0,-834.0,1,cluster_1
459.0,-416.0,1,cluster_1
864.0,-424.0,1,cluster_1
764.0,-541.0,1,cluster_1
875.0,-426.0,1,cluster_1
540.0,-284.0,1,cluster_1
810.0,-407.0,1,cluster_1
718.0,-749.0,1,cluster_1
706.0,-390.0,1,cluster_1
759.0,-397.0,1,cluster_1
609.0,-508.0,1,cluster_1
606.0,-438.0,1,cluster_1
766.0,-504.0,1,cluster_1
737.0,-771.0,1,cluster_1
663.0,-538.0,1,cluster_1
715.0,-340.0,1,cluster_1
616.0,-341.0,1,cluster_1
834.0,-428.0,1,cluster_1
646.0,-480.0,1,cluster_1
783.0,-513.0,1,cluster_1
706.0,-627.0,1,cluster_1
704.0,-731.0,1,cluster_1
637.0,-604.0,1,cluster_1
752.0,-454.0,1,cluster_1
616.0,-541.0,1,cluster_1
645.0,-329.0,1,cluster_1
726.0,-558.0,1,cluster_1
526.0,-464.0,1,cluster_1
652.0,-612.0,1,cluster_1
700.0,-372.0,1,cluster_1
584.0,-501.0,1,cluster_1
761.0,-499.0,1,cluster_1
499.0,-589.0,1,cluster_1
638.0,-539.0,1,cluster_1
678.0,-395.0,1,cluster_1
593.0,-622.0,1,cluster_1
709.0,-399.0,1,cluster_1
696.0,-294.0,1,cluster_1
660.0,-361.0,1,cluster_1
753.0,-409.0,1,cluster_1
732.0,-767.0,1,cluster_1
740.0,-460.0,1,cluster_1
565.0,-388.0,1,cluster_1
591.0,-589.0,1,cluster_1
714.0,-411.0,1,cluster_1
676.0,-395.0,1,cluster_1
646.0,-610.0,1,cluster_1
653.0,-426.0,1,cluster_1
613.0,-362.0,1,cluster_1
825.0,-589.0,1,cluster_1
592.0,-588.0,1,cluster_1
553.0,-351.0,1,cluster_1
608.0,-558.0,1,cluster_1
622.0,-600.0,1,cluster_1
429.0,-340.0,1,cluster_1
703.0,-405.0,1,cluster_1
794.0,-403.0,1,cluster_1
769.0,-534.0,1,cluster_1
687.0,-380.0,1,cluster_1
792.0,-435.0,1,cluster_1
781.0,-794.0,1,cluster_1
457.0,-262.0,1,cluster_1
735.0,-783.0,1,cluster_1
678.0,-706.0,1,cluster_1
637.0,-419.0,1,cluster_1
627.0,-493.0,1,cluster_1
755.0,-403.0,1,cluster_1
622.0,-325.0,1,cluster_1
729.0,-576.0,1,cluster_1
631.0,-434.0,1,cluster_1
670.0,-552.0,1,cluster_1
746.0,-715.0,1,cluster_1
582.0,-552.0,1,cluster_1
714.0,-412.0,1,cluster_1
769.0,-451.0,1,cluster_1
711.0,-877.0,1,cluster_1
609.0,-769.0,1,cluster_1
769.0,-794.0,1,cluster_1
777.0,-798.0,1,cluster_1
815.0,-382.0,1,cluster_1
761.0,-791.0,1,cluster_1
601.0,-734.0,1,cluster_1
755.0,-631.0,1,cluster_1
669.0,-623.0,1,cluster_1
714.0,-643.0,1,cluster_1
536.0,-656.0,1,cluster_1
849.0,-551.0,1,cluster_1
854.0,-741.0,1,cluster_1
794.0,-772.0,1,cluster_1
759.0,-479.0,1,cluster_1
843.0,-464.0,1,cluster_1
773.0,-717.0,1,cluster_1
